

***** Start Trial #0 *****

Environment #0 Trial #0: FAIL
Environment #1 Trial #0: SUCCESS
Environment #2 Trial #0: SUCCESS
Environment #3 Trial #0: SUCCESS
Environment #4 Trial #0: FAIL
Environment #5 Trial #0: SUCCESS
Environment #6 Trial #0: FAIL
Environment #7 Trial #0: FAIL
Environment #8 Trial #0: SUCCESS
Environment #9 Trial #0: SUCCESS
Environment #10 Trial #0: SUCCESS
Environment #11 Trial #0: SUCCESS
Environment #12 Trial #0: SUCCESS
Environment #13 Trial #0: FAIL
Environment #14 Trial #0: SUCCESS
Environment #15 Trial #0: SUCCESS
Environment #16 Trial #0: SUCCESS
Environment #17 Trial #0: SUCCESS
Environment #18 Trial #0: SUCCESS
Environment #19 Trial #0: SUCCESS
Environment #20 Trial #0: FAIL
Environment #21 Trial #0: SUCCESS
Environment #22 Trial #0: FAIL
Environment #23 Trial #0: FAIL
Environment #24 Trial #0: SUCCESS
Environment #25 Trial #0: SUCCESS
Environment #26 Trial #0: SUCCESS
Environment #27 Trial #0: SUCCESS
Environment #28 Trial #0: SUCCESS
Environment #29 Trial #0: SUCCESS
Environment #30 Trial #0: SUCCESS
Environment #31 Trial #0: SUCCESS
Environment #32 Trial #0: SUCCESS
Environment #33 Trial #0: SUCCESS
Environment #34 Trial #0: SUCCESS
Environment #35 Trial #0: SUCCESS
Environment #36 Trial #0: SUCCESS
Environment #37 Trial #0: SUCCESS
Environment #38 Trial #0: SUCCESS
Environment #39 Trial #0: FAIL
Environment #40 Trial #0: FAIL
Environment #41 Trial #0: FAIL
Environment #42 Trial #0: FAIL
Environment #43 Trial #0: SUCCESS
Environment #44 Trial #0: SUCCESS
Environment #45 Trial #0: SUCCESS
Environment #46 Trial #0: FAIL
Environment #47 Trial #0: SUCCESS
Environment #48 Trial #0: SUCCESS
Environment #49 Trial #0: SUCCESS
Environment #50 Trial #0: FAIL
Environment #51 Trial #0: FAIL
Environment #52 Trial #0: FAIL
Environment #53 Trial #0: SUCCESS
Environment #54 Trial #0: FAIL
Environment #55 Trial #0: SUCCESS
Environment #56 Trial #0: FAIL
Environment #57 Trial #0: SUCCESS
Environment #58 Trial #0: FAIL
Environment #59 Trial #0: FAIL
Environment #60 Trial #0: SUCCESS
Environment #61 Trial #0: FAIL
Environment #62 Trial #0: FAIL
Environment #63 Trial #0: FAIL
Environment #64 Trial #0: SUCCESS
Environment #65 Trial #0: SUCCESS
Environment #66 Trial #0: SUCCESS
Environment #67 Trial #0: SUCCESS
Environment #68 Trial #0: SUCCESS
Environment #69 Trial #0: SUCCESS
Environment #70 Trial #0: SUCCESS
Environment #71 Trial #0: SUCCESS
Environment #72 Trial #0: FAIL
Environment #73 Trial #0: SUCCESS
Environment #74 Trial #0: FAIL
Environment #75 Trial #0: FAIL
Environment #76 Trial #0: FAIL
Environment #77 Trial #0: FAIL
